id_building,energy_site_eui_post_odcv
BOS_106737,171.4
BOS_106760,41.4
BOS_106764,44.0
BOS_106768,229.4
BOS_106776,116.3
BOS_106777,32.2
BOS_106782,80.6
BOS_106784,90.1
BOS_106799,191.6
BOS_106811,229.4
BOS_106816,67.1
BOS_106818,50.5
BOS_106819,244.6
BOS_106820,118.2
BOS_106823,31.4
BOS_106826,299.5
BOS_106827,83.7
BOS_106837,143.7
BOS_106901,68.1
BOS_106924,70.3
BOS_106928,51.1
BOS_106949,31.1
BOS_107009,16.0
BOS_107048,87.5
BOS_107052,135.8
BOS_107053,28.2
BOS_107055,44.1
BOS_107057,51.9
BOS_107062,62.7
BOS_107067,168.6
BOS_107068,116.6
BOS_107082,9.2
BOS_107083,11.2
BOS_107084,19.3
BOS_107086,34.2
BOS_107087,24.5
BOS_107088,40.3
BOS_107135,115.8
BOS_107173,47.7
BOS_107176,61.5
BOS_107183,45.9
BOS_107254,10.4
BOS_107282,63.6
BOS_107521,50.3
BOS_107591,53.3
BOS_107639,49.2
BOS_107668,50.5
BOS_107794,237.4
BOS_107803,48.5
BOS_107844,30.2
BOS_107913,48.7
BOS_107955,47.1
BOS_107962,50.3
BOS_107968,93.6
BOS_107969,66.4
BOS_107970,31.6
BOS_108021,202.4
BOS_108047,93.1
BOS_108082,50.8
BOS_108085,40.2
BOS_108117,164.5
BOS_108125,35.0
BOS_108126,37.3
BOS_108128,51.1
BOS_108162,32.4
BOS_108165,33.5
BOS_108167,76.2
CAM_1662,69.3
CAM_1663,130.0
CAM_1106,39.8
CAM_1499,218.1
CAM_1360,5.9
CAM_1346,194.3
CAM_1257,54.1
CAM_1614,169.1
CAM_1548,260.4
CAM_1488,303.9
CAM_1242,27.5
CAM_1816,11.4
CAM_1501,442.0
CAM_1005,38.3
CAM_1469,76.8
CAM_1255,51.3
CAM_1394,59.8
CAM_1689,37.6
CAM_1541,15.0
CAM_1277,38.8
CAM_1399,87.6
CAM_1528,240.6
CAM_1492,249.9
CAM_1204,216.1
CAM_1734,57.4
CAM_1161,95.4
CAM_1878,129.5
CAM_1419,31.0
CAM_1043,69.4
CAM_1745,23.1
CAM_1435,66.7
CAM_1297,25.2
CAM_1312,65.4
CAM_1333,84.9
CAM_1454,55.9
CAM_1265,87.9
CAM_1404,84.3
CAM_1014,44.1
CAM_1718,147.7
CAM_1387,197.4
CAM_1371,277.0
CAM_1573,331.9
CAM_1480,124.5
CAM_1165,316.0
CAM_1590,36.4
CAM_1197,58.3
CAM_1293,351.3
CAM_1809,24.0
